index,precision,recall,f1-score,support
0,0.8104572313193642,0.9784153724664385,0.8865514650638617,37990.0
1,0.7459727385377943,0.21691739482929465,0.33610161211529066,11101.0
accuracy,0.8062170255240269,0.8062170255240269,0.8062170255240269,0.8062170255240269
macro avg,0.7782149849285793,0.5976663836478666,0.6113265385895762,49091.0
weighted avg,0.7958752844376912,0.8062170255240269,0.7620776548423938,49091.0
