index,precision,recall,f1-score,support
0,0.8168128817323709,0.9680960277975204,0.8860433179945552,37989.0
1,0.7019183472700443,0.25707079805440464,0.3763185654008439,11102.0
accuracy,0.807296653154346,0.807296653154346,0.807296653154346,0.807296653154346
macro avg,0.7593656145012075,0.6125834129259625,0.6311809416976996,49091.0
weighted avg,0.7908293181137698,0.807296653154346,0.7707683347329515,49091.0
