number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boosting_type,params_feature_fraction,params_learning_rate,params_max_depth,params_num_iterations,params_num_leaves,params_tree_learner,state
31,0.71056,2022-02-17 00:40:55.521204,2022-02-17 00:45:57.162137,0 days 00:05:01.640933,0.8193831829431021,dart,0.6431868846157409,0.09789003464914846,4,7,2,data,COMPLETE
32,0.7099,2022-02-17 00:45:57.235467,2022-02-17 00:51:31.276386,0 days 00:05:34.040919,0.7500656311779234,dart,0.6536934981684349,0.16974985954527103,4,7,3,data,COMPLETE
33,0.7002200000000001,2022-02-17 00:51:31.355337,2022-02-17 00:55:54.149263,0 days 00:04:22.793926,0.8679668750476142,dart,0.7043247172089422,0.006363747084390052,5,6,2,data,COMPLETE
34,0.71006,2022-02-17 00:55:54.225025,2022-02-17 01:03:15.937139,0 days 00:07:21.712114,0.9343500005253083,dart,0.5363353823568949,0.06126950405628018,4,7,4,data,COMPLETE
35,0.70978,2022-02-17 01:03:16.014190,2022-02-17 01:10:49.558307,0 days 00:07:33.544117,0.8040770043281372,dart,0.6355941459348056,0.10555409927027357,3,8,3,voting,COMPLETE
36,0.5,2022-02-17 01:10:49.637411,2022-02-17 01:10:58.285040,0 days 00:00:08.647629,0.7674633893803873,gbdt,0.598680713500907,0.09146997474941668,6,9,2,data,COMPLETE
37,0.70218,2022-02-17 01:10:58.360820,2022-02-17 01:13:08.994978,0 days 00:02:10.634158,0.8318705967943686,dart,0.5588509704615935,0.009314958432610845,5,3,5,data,COMPLETE
38,0.70914,2022-02-17 01:13:09.070861,2022-02-17 01:22:38.263325,0 days 00:09:29.192464,0.8736208124074712,dart,0.6870905675655278,0.15039491545687303,4,10,4,voting,COMPLETE
39,0.7043,2022-02-17 01:22:38.337806,2022-02-17 01:22:49.973526,0 days 00:00:11.635720,0.8125792194275562,rf,0.8402016940383707,0.03125206900557714,7,7,6,voting,COMPLETE
40,0.5,2022-02-17 01:22:50.045126,2022-02-17 01:22:56.112839,0 days 00:00:06.067713,0.6862465411441864,gbdt,0.7517599420919059,0.0907246743057464,1,6,3,serial,COMPLETE
41,0.70972,2022-02-17 01:22:56.183817,2022-02-17 01:27:30.964760,0 days 00:04:34.780943,0.8136344448391948,dart,0.5893405284038783,0.06966479761910713,4,8,1,data,COMPLETE
42,0.7101999999999999,2022-02-17 01:27:31.041340,2022-02-17 01:29:42.371446,0 days 00:02:11.330106,0.7446267173853345,dart,0.6252893377266204,0.1955136765433029,4,5,1,data,COMPLETE
43,0.7105400000000001,2022-02-17 01:29:42.447619,2022-02-17 01:37:41.009082,0 days 00:07:58.561463,0.8453912167590727,dart,0.5411699351898269,0.10268821490536516,5,9,2,data,COMPLETE
44,0.71002,2022-02-17 01:37:41.085434,2022-02-17 01:44:52.128022,0 days 00:07:11.042588,0.9312431101361701,dart,0.5289024471524099,0.13683752197175775,5,9,2,data,COMPLETE
45,0.71,2022-02-17 01:44:52.202220,2022-02-17 01:54:19.865630,0 days 00:09:27.663410,0.8475014313460985,dart,0.5603309546086911,0.04922670796093743,5,10,2,data,COMPLETE
46,0.71018,2022-02-17 01:54:19.943162,2022-02-17 02:01:43.187287,0 days 00:07:23.244125,0.7851674030441459,dart,0.5312281091057057,0.10802056534006489,6,8,3,serial,COMPLETE
47,0.7102999999999999,2022-02-17 02:01:43.264225,2022-02-17 02:09:15.831216,0 days 00:07:32.566991,0.8853976918753073,dart,0.570480080904322,0.08149492490653994,3,9,2,data,COMPLETE
48,0.71074,2022-02-17 02:09:15.903722,2022-02-17 02:14:34.279497,0 days 00:05:18.375775,0.8544230119327096,dart,0.546586576663981,0.22492509418230977,3,10,1,data,COMPLETE
49,0.70868,2022-02-17 02:14:34.365925,2022-02-17 02:22:57.914214,0 days 00:08:23.548289,0.9087655438275355,dart,0.5472783207762637,0.28512700846223227,2,9,7,voting,COMPLETE
