index,precision,recall,f1-score,support
0,0.8864758749731604,0.7607265069755199,0.8188012636171751,37990.0
1,0.4487568223165555,0.6666066120169354,0.5364067993186185,11101.0
accuracy,0.7394430751054165,0.7394430751054165,0.7394430751054165,0.7394430751054165
macro avg,0.667616348644858,0.7136665594962277,0.6776040314678968,49091.0
weighted avg,0.7874940004230193,0.7394430751054165,0.7549431032990257,49091.0
