index,precision,recall,f1-score,support
0,0.8837095341643442,0.7595356550580431,0.8169309173272933,37989.0
1,0.4443430656934307,0.6579895514321744,0.5304625662624356,11102.0
accuracy,0.7365708582021144,0.7365708582021144,0.7365708582021144,0.7365708582021144
macro avg,0.6640262999288874,0.7087626032451088,0.6736967417948645,49091.0
weighted avg,0.7843461776842545,0.7365708582021144,0.752145689209674,49091.0
