Features,Scores
number_order,0.4347
most_frequent_platform,0.0817
total_amount_paid,0.0788
most_frequent_transmission,0.0508
most_frequent_city,0.0268
amount_platform_30359,0.0259
amount_payment_1779,0.02
max_delivery_fee,0.0186
cos_order_hour,0.0186
min_amount_paid,0.0181
sin_order_hour,0.0174
number_unique_transmission,0.0173
most_frequent_payment,0.0162
amount_transmission_4228,0.0153
number_unique_restaurant,0.0153
number_return,0.0149
amount_payment_1619,0.0133
payment_frequency,0.013
restaurant_frequency,0.0122
transmission_frequency,0.0122
amount_transmission_4324,0.0116
city_frequency,0.0109
avg_order_hour,0.0108
max_amount_paid,0.0105
number_unique_platform,0.0077
amount_transmission_4356,0.0047
min_delivery_fee,0.0043
platform_frequency,0.0043
number_unique_payment,0.0043
amount_platform_29815,0.0028
amount_platform_30231,0.0026
amount_platform_29463,0.0021
number_unique_city,0.0018
total_delivery_fee,0.0006
