Features,Scores
number_order,0.3554
total_amount_paid,0.0866
most_frequent_platform,0.0763
most_frequent_transmission,0.0456
most_frequent_city,0.0294
city_frequency,0.0293
min_amount_paid,0.0289
number_unique_transmission,0.0288
amount_platform_30359,0.0247
sin_order_hour,0.0228
amount_payment_1779,0.0226
platform_frequency,0.0202
payment_frequency,0.0197
cos_order_hour,0.0191
max_delivery_fee,0.0182
avg_order_hour,0.0174
transmission_frequency,0.0161
most_frequent_payment,0.0155
max_amount_paid,0.0154
amount_transmission_4228,0.0144
amount_payment_1619,0.0135
amount_transmission_4324,0.0114
number_unique_restaurant,0.01
number_unique_platform,0.01
number_return,0.0085
number_unique_payment,0.007
amount_platform_30231,0.0053
amount_platform_29815,0.0051
restaurant_frequency,0.005
amount_transmission_4356,0.0045
amount_platform_29463,0.0043
min_delivery_fee,0.0033
number_unique_city,0.0031
total_delivery_fee,0.0028
