Features,Scores
number_order,0.3152
payment_frequency,0.1109
most_frequent_platform,0.0812
most_frequent_transmission,0.0574
total_amount_paid,0.0556
city_frequency,0.0327
most_frequent_city,0.0281
amount_payment_1779,0.0252
amount_platform_30359,0.0248
min_amount_paid,0.0207
cos_order_hour,0.0206
sin_order_hour,0.02
most_frequent_payment,0.019
max_amount_paid,0.0185
transmission_frequency,0.0163
max_delivery_fee,0.0157
number_unique_restaurant,0.015
amount_transmission_4228,0.0134
amount_transmission_4324,0.0132
number_unique_transmission,0.0113
avg_order_hour,0.0112
number_unique_payment,0.0105
amount_payment_1619,0.0097
restaurant_frequency,0.0074
number_return,0.0072
number_unique_platform,0.0067
platform_frequency,0.0066
amount_transmission_4356,0.0051
total_delivery_fee,0.0046
amount_platform_29463,0.0044
amount_platform_29815,0.0035
number_unique_city,0.0029
min_delivery_fee,0.0027
amount_platform_30231,0.0025
