Features,Scores
number_order,0.33
most_frequent_platform,0.0841
total_amount_paid,0.078
most_frequent_transmission,0.0521
city_frequency,0.0397
min_amount_paid,0.0291
most_frequent_city,0.0286
amount_platform_30359,0.0226
max_delivery_fee,0.0217
platform_frequency,0.0213
payment_frequency,0.0212
cos_order_hour,0.0209
amount_payment_1779,0.0205
number_unique_transmission,0.0194
most_frequent_payment,0.019
transmission_frequency,0.0182
avg_order_hour,0.018
max_amount_paid,0.0173
sin_order_hour,0.0169
amount_transmission_4228,0.0157
number_unique_platform,0.0132
number_unique_restaurant,0.013
amount_payment_1619,0.012
amount_transmission_4324,0.0117
number_return,0.0105
amount_transmission_4356,0.0085
restaurant_frequency,0.007
number_unique_payment,0.0058
amount_platform_30231,0.0053
amount_platform_29463,0.0052
number_unique_city,0.0044
min_delivery_fee,0.0039
amount_platform_29815,0.0031
total_delivery_fee,0.0024
