Features,Scores
number_order,0.1538
most_frequent_platform,0.0879
most_frequent_transmission,0.0866
total_amount_paid,0.0652
most_frequent_city,0.0595
city_frequency,0.0525
min_amount_paid,0.0405
payment_frequency,0.0371
amount_platform_30359,0.0364
amount_payment_1779,0.0355
amount_payment_1619,0.0341
cos_order_hour,0.0268
sin_order_hour,0.0216
max_amount_paid,0.0214
number_return,0.0202
number_unique_restaurant,0.0198
amount_transmission_4228,0.0195
avg_order_hour,0.0191
transmission_frequency,0.0188
amount_platform_29815,0.0148
max_delivery_fee,0.0143
amount_transmission_4324,0.0138
amount_transmission_4356,0.013
platform_frequency,0.0129
most_frequent_payment,0.0114
amount_platform_30231,0.0104
number_unique_transmission,0.0096
number_unique_city,0.0079
total_delivery_fee,0.0073
min_delivery_fee,0.0068
number_unique_platform,0.0068
amount_platform_29463,0.0062
restaurant_frequency,0.0052
number_unique_payment,0.0034
