index,precision,recall,f1-score,support
0,0.8820335487002153,0.765411950513293,0.8195949659653029,37990.0
1,0.44728355246837015,0.6496712007927213,0.5298071625344353,11101.0
accuracy,0.7392393717789412,0.7392393717789412,0.7392393717789412,0.7392393717789412
macro avg,0.6646585505842928,0.7075415756530072,0.6747010642498691,49091.0
weighted avg,0.7837230700346817,0.7392393717789412,0.7540649420121127,49091.0
