Features,Scores
number_order,0.1527
most_frequent_platform,0.0905
most_frequent_transmission,0.0854
total_amount_paid,0.0682
most_frequent_city,0.0614
city_frequency,0.0575
min_amount_paid,0.0438
amount_platform_30359,0.0345
amount_payment_1619,0.0343
cos_order_hour,0.0325
amount_payment_1779,0.0289
payment_frequency,0.0284
number_return,0.0271
sin_order_hour,0.0239
amount_transmission_4228,0.0234
number_unique_restaurant,0.022
transmission_frequency,0.0216
max_amount_paid,0.0195
avg_order_hour,0.0175
number_unique_transmission,0.0138
amount_transmission_4324,0.0134
max_delivery_fee,0.0121
amount_transmission_4356,0.0114
most_frequent_payment,0.0105
amount_platform_30231,0.0098
amount_platform_29463,0.0088
amount_platform_29815,0.0077
platform_frequency,0.0075
total_delivery_fee,0.0071
number_unique_platform,0.007
number_unique_city,0.0055
restaurant_frequency,0.005
min_delivery_fee,0.0038
number_unique_payment,0.0036
