index,precision,recall,f1-score,support
0,0.884934684409718,0.7632008423269281,0.8195720383299884,37990.0
1,0.449010840938323,0.6603909557697505,0.5345632200670848,11101.0
accuracy,0.7399523334216048,0.7399523334216048,0.7399523334216048,0.7399523334216048
macro avg,0.6669727626740205,0.7117958990483393,0.6770676291985366,49091.0
weighted avg,0.7863587624204338,0.7399523334216048,0.7551226913715542,49091.0
