Features,Scores
number_order,0.1441
most_frequent_platform,0.0904
most_frequent_transmission,0.0848
total_amount_paid,0.0654
most_frequent_city,0.0643
city_frequency,0.0471
payment_frequency,0.0446
min_amount_paid,0.0423
amount_platform_30359,0.0334
amount_payment_1619,0.0318
amount_payment_1779,0.0296
cos_order_hour,0.0293
sin_order_hour,0.0257
transmission_frequency,0.0254
number_unique_restaurant,0.0214
avg_order_hour,0.0204
max_amount_paid,0.0198
number_return,0.0189
amount_transmission_4228,0.018
amount_transmission_4324,0.0175
amount_platform_29815,0.0166
max_delivery_fee,0.013
platform_frequency,0.0107
amount_transmission_4356,0.0107
number_unique_transmission,0.0102
amount_platform_29463,0.01
amount_platform_30231,0.0096
most_frequent_payment,0.0095
total_delivery_fee,0.0071
min_delivery_fee,0.0064
number_unique_platform,0.0064
number_unique_city,0.0062
restaurant_frequency,0.0054
number_unique_payment,0.0038
