Features,Scores
number_order,0.1445
most_frequent_platform,0.0902
most_frequent_transmission,0.0882
total_amount_paid,0.0632
most_frequent_city,0.0554
min_amount_paid,0.0491
city_frequency,0.047
amount_platform_30359,0.0393
payment_frequency,0.0364
amount_payment_1619,0.0316
cos_order_hour,0.0271
transmission_frequency,0.027
number_return,0.025
amount_payment_1779,0.0246
sin_order_hour,0.0245
number_unique_restaurant,0.0241
avg_order_hour,0.0218
amount_transmission_4228,0.0205
max_amount_paid,0.0196
amount_transmission_4324,0.0161
platform_frequency,0.0159
max_delivery_fee,0.015
amount_platform_29815,0.0134
amount_transmission_4356,0.0123
most_frequent_payment,0.0121
number_unique_transmission,0.0121
number_unique_city,0.0095
amount_platform_29463,0.0075
total_delivery_fee,0.0054
number_unique_platform,0.0054
restaurant_frequency,0.005
amount_platform_30231,0.0045
min_delivery_fee,0.0039
number_unique_payment,0.0029
