index,precision,recall,f1-score,support
0,0.830989493130124,0.947274210955803,0.885329790636455,37989
1,0.653819564465952,0.340749414519906,0.448010421601137,11102
accuracy,0.810107759059705,0.810107759059705,0.810107759059705,0.810107759059705
macro avg,0.742404528798038,0.644011812737855,0.666670106118796,49091
weighted avg,0.790922259868841,0.810107759059705,0.786429388627327,49091
